Géographie;Système de classification des industries de l'Amérique du Nord (SCIAN);Ajustements;Période de référence;Ventes totles du commerce de détil
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;juil-23;3 890 297
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;août-23;3 915 537
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;sept-23;3 891 649
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;oct-23;3 848 794
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;nov-23;3 874 681
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;déc-23;3 779 720
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;janv-24;3 871 077
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;févr-24;3 919 759
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;mars-24;3 963 185
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;avr-24;3 932 666
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;mai-24;3 848 932
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;juin-24;3 815 249
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;juil-24;3 817 524
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;août-24;3 777 675
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;sept-24;3 928 376
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;oct-24;3 853 297
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;nov-24;3 767 339
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;déc-24;3 836 524
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;janv-25;3 867 254
Canada;Marchands de matériaux de construction et de matériel et fournitures de jardinage  [444];Désaisonnalisées;févr-25;3 759 781
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;févr-22;12 160 888
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;mars-22;12 242 103
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;avr-22;12 115 463
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;mai-22;12 243 995
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;juin-22;12 197 675
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;juil-22;12 117 257
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;août-22;12 516 109
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;sept-22;12 289 869
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;oct-22;12 525 972
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;nov-22;12 555 856B
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;déc-22;12 271 727
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;janv-23;12 506 994
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;févr-23;12 563 355
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;mars-23;12 715 200
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;avr-23;12 794 229
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;mai-23;12 923 629
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;juin-23;12 798 998
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;juil-23;12 873 216
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;août-23;12 812 069
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;sept-23;12 725 623
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;oct-23;12 756 567
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;nov-23;12 670 407
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;déc-23;12 787 668
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;janv-24;12 750 566
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;févr-24;12 676 214
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;mars-24;12 654 584
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;avr-24;12 894 782
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;mai-24;12 595 462
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;juin-24;12 826 360
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;juil-24;12 888 582
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;août-24;12 770 875
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;sept-24;13 097 595
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;oct-24;13 002 809
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;nov-24;12 836 596
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;déc-24;13 266 678
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;janv-25;12 927 184
Canada;Détaillants d'alimentation  [445];Désaisonnalisées;févr-25;13 290 630
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;févr-22;9 010 225
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;mars-22;9 119 437
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;avr-22;9 055 333
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;mai-22;9 092 178
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;juin-22;9 095 909
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;juil-22;9 012 774
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;août-22;9 321 259
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;sept-22;9 155 722
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;oct-22;9 358 999
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;nov-22;9 409 899B
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;déc-22;9 306 828
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;janv-23;9 435 781
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;févr-23;9 518 611
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;mars-23;9 610 509
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;avr-23;9 684 208
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;mai-23;9 803 898
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;juin-23;9 762 205
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;juil-23;9 817 452
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;août-23;9 763 089
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;sept-23;9 700 139
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;oct-23;9 715 260
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;nov-23;9 651 557
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;déc-23;9 690 723
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;janv-24;9 678 192
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;févr-24;9 641 955
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;mars-24;9 672 096
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;avr-24;9 850 496
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;mai-24;9 594 948
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;juin-24;9 786 641
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;juil-24;9 876 195
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;août-24;9 747 848
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;sept-24;10 030 052
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;oct-24;9 931 267
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;nov-24;9 814 561
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;déc-24;10 104 520
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;janv-25;9 793 650
Canada;Épiceries et dépanneurs  [4451];Désaisonnalisées;févr-25;10 120 295
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;févr-22;8 305 928
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;mars-22;8 428 535
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;avr-22;8 369 618
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;mai-22;8 389 504
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;juin-22;8 398 278
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;juil-22;8 319 889
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;août-22;8 612 247
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;sept-22;8 458 241
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;oct-22;8 642 061
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;nov-22;8 700 543B
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;déc-22;8 629 496
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;janv-23;8 699 663
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;févr-23;8 775 450
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;mars-23;8 865 190
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;avr-23;8 930 186
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;mai-23;9 058 475
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;juin-23;9 024 237
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;juil-23;9 075 313
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;août-23;9 015 483
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;sept-23;8 939 513
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;oct-23;8 985 193
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;nov-23;8 925 846
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;déc-23;8 969 649
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;janv-24;8 958 938
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;févr-24;8 923 552
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;mars-24;8 952 327
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;avr-24;9 135 108
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;mai-24;8 881 317
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;juin-24;9 087 231
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;juil-24;9 172 457
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;août-24;9 052 075
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;sept-24;9 327 073
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;oct-24;9 225 780
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;nov-24;9 101 890
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;déc-24;9 405 459
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;janv-25;9 103 286
Canada;Supermarchés et autres épiceries (sauf les dépanneurs)  [44511];Désaisonnalisées;févr-25;9 436 471
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;févr-22;704 297
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;mars-22;690 902
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;avr-22;685 716
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;mai-22;702 674
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;juin-22;697 631
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;juil-22;692 885
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;août-22;709 011
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;sept-22;697 481
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;oct-22;716 938
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;nov-22;709 355
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;déc-22;677 332B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;janv-23;736 118
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;févr-23;743 161
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;mars-23;745 319B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;avr-23;754 022
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;mai-23;745 422
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;juin-23;737 967
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;juil-23;742 139B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;août-23;747 606B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;sept-23;760 626B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;oct-23;730 067B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;nov-23;725 712
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;déc-23;721 074B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;janv-24;719 255B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;févr-24;718 403
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;mars-24;719 770
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;avr-24;715 388
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;mai-24;713 630
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;juin-24;699 410
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;juil-24;703 737
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;août-24;695 774
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;sept-24;702 979
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;oct-24;705 488B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;nov-24;712 671B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;déc-24;699 061B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;janv-25;690 364B
Canada;Dépanneurs et exploitants de distributeurs automatiques  [44513];Désaisonnalisées;févr-25;683 824B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;févr-22;892 812B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;mars-22;878 977B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;avr-22;867 822
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;mai-22;872 966
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;juin-22;882 130B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;juil-22;884 696B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;août-22;876 530
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;sept-22;875 119B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;oct-22;884 833B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;nov-22;856 595
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;déc-22;792 525B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;janv-23;809 363B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;févr-23;823 801B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;mars-23;842 213
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;avr-23;873 743
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;mai-23;886 413
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;juin-23;881 370
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;juil-23;857 591
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;août-23;890 847
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;sept-23;896 258
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;oct-23;855 017
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;nov-23;908 918
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;déc-23;899 995
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;janv-24;893 219
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;févr-24;896 333
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;mars-24;896 750
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;avr-24;879 440
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;mai-24;884 294
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;juin-24;888 800
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;juil-24;901 899
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;août-24;904 146
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;sept-24;895 773
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;oct-24;892 829
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;nov-24;891 078
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;déc-24;901 963B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;janv-25;943 704B
Canada;Détaillants d'alimentation spécialisés  [4452];Désaisonnalisées;févr-25;930 601B
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;févr-22;2 257 851
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;mars-22;2 243 689
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;avr-22;2 192 308
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;mai-22;2 278 852
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;juin-22;2 219 636
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;juil-22;2 219 787
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;août-22;2 318 320
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;sept-22;2 259 027B
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;oct-22;2 282 140
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;nov-22;2 289 362B
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;déc-22;2 172 374
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;janv-23;2 261 850
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;févr-23;2 220 944
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;mars-23;2 262 478
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;avr-23;2 236 279
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;mai-23;2 233 318
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;juin-23;2 155 423
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;juil-23;2 198 174
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;août-23;2 158 133
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;sept-23;2 129 226
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;oct-23;2 186 290
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;nov-23;2 109 932
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;déc-23;2 196 950
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;janv-24;2 179 155
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;févr-24;2 137 926
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;mars-24;2 085 738
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;avr-24;2 164 846
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;mai-24;2 116 221
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;juin-24;2 150 919
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;juil-24;2 110 488
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;août-24;2 118 881
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;sept-24;2 171 770
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;oct-24;2 178 714
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;nov-24;2 130 957
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;déc-24;2 260 195
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;janv-25;2 189 830
Canada;Détaillants de bière, de vin et de spiritueux  [4453];Désaisonnalisées;févr-25;2 239 733B
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;févr-22;3 698 045
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;mars-22;3 757 908
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;avr-22;3 777 940
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;mai-22;3 729 691
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;juin-22;3 750 229
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;juil-22;3 616 126
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;août-22;3 630 269
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;sept-22;3 644 427
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;oct-22;3 587 711
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;nov-22;3 567 403
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;déc-22;3 719 678
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;janv-23;3 603 186
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;févr-23;3 734 871
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;mars-23;3 791 879
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;avr-23;3 612 551
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;mai-23;3 588 386
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;juin-23;3 605 577
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;juil-23;3 649 475
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;août-23;3 664 614
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;sept-23;3 631 222
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;oct-23;3 626 898
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;nov-23;3 719 769
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;déc-23;3 591 172
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;janv-24;3 592 415
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;févr-24;3 637 011
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;mars-24;3 552 100
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;avr-24;3 611 198
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;mai-24;3 588 562
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;juin-24;3 590 081
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;juil-24;3 635 082
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;août-24;3 610 221
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;sept-24;3 674 985
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;oct-24;3 680 781
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;nov-24;3 692 594
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;déc-24;3 712 065
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;janv-25;3 815 346
Canada;Détaillants de meubles, accessoires de maison, appareils électroniques et ménagers  [449];Désaisonnalisées;févr-25;3 704 203
Canada;Détaillants de meubles, de revêtements de sol, garnitures de fenêtres et d'accessoires de maisons  [4491];Désaisonnalisées;févr-22;2 054 641
Canada;Détaillants de meubles, de revêtements de sol, garnitures de fenêtres et d'accessoires de maisons  [4491];Désaisonnalisées;mars-22;2 080 642
Canada;Détaillants de meubles, de revêtements de sol, garnitures de fenêtres et d'accessoires de maisons  [4491];Désaisonnalisées;avr-22;2 079 219
