Géographie;Système de classification des industries de l'Amérique du Nord (SCIAN);Ajustements;Période de référence;Ventes totles du commerce de détil
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;avr-24;17 706 485
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;mai-24;17 691 168
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;juin-24;17 456 489
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;juil-24;18 103 482
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;août-24;18 558 898
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;sept-24;18 456 468
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;oct-24;18 998 199
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;nov-24;19 561 813
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;déc-24;19 742 694
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;janv-25;19 219 521
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;févr-25;18 720 951
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;févr-22;14 088 879
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;mars-22;13 516 566
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;avr-22;13 510 189
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;mai-22;14 028 114
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;juin-22;14 313 021
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;juil-22;14 144 261
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;août-22;14 145 796
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;sept-22;14 196 665
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;oct-22;14 317 605
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;nov-22;14 294 840
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;déc-22;14 370 009
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;janv-23;15 500 197
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;févr-23;15 447 713
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;mars-23;14 941 041
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;avr-23;15 122 852
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;mai-23;14 982 190
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;juin-23;15 573 135
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;juil-23;15 233 013
Canada;Concessionnaires d'automobiles  [4411];Désaisonnalisées;août-23;14 957 310
