Date_UTC,Date_Local,LocalDate,Home Team,Away Team,Home Score,Away Score,Result,Season,weight,Played,Home Team Rank,Away Team Rank,Date,Home Win,Home Last 10 Wins,Away Last 10 Wins,Home Played Yesterday,Away Played Yesterday,Home Win Rate,Away Win Rate,Home Team Overall Win Streak Before Game,Away Team Overall Win Streak Before Game,Home Opponent Strength,Away Opponent Strength,Home Rest Days Since Last Game,Away Rest Days Since Last Game
2024-10-12 17:00:00+00:00,2024-10-12 13:00:00-04:00,2024-10-12,Boston Bruins,Los Angeles Kings,2,1,2 - 1,2024-2025,1.0,True,19.0,12.0,2024-10-12 13:00:00,True,1,1,False,False,1.0,1.0,1,1,27.0,28.0,1.0,1.0
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Detroit Red Wings,Nashville Predators,3,0,3 - 0,2024-2025,1.0,True,5.0,29.0,2024-10-12 19:00:00,True,0,0,False,False,0.0,0.0,0,0,2.0,11.0,1.0,1.0
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Washington Capitals,New Jersey Devils,3,5,3 - 5,2024-2025,1.0,True,21.0,7.0,2024-10-12 19:00:00,False,0,2,False,False,0.0,1.0,0,0,,27.333333333333332,,2.0
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Toronto Maple Leafs,Pittsburgh Penguins,4,2,4 - 2,2024-2025,1.0,True,26.0,2.0,2024-10-12 19:00:00,True,1,1,False,False,0.0,1.0,1,1,7.0,13.5,2.0,1.0
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Buffalo Sabres,Florida Panthers,5,2,5 - 2,2024-2025,1.0,True,28.0,27.0,2024-10-12 19:00:00,True,0,1,False,False,0.0,0.0,0,0,8.666666666666666,16.5,2.0,2.0
2024-10-13 00:00:00+00:00,2024-10-12 20:00:00-04:00,2024-10-12,Dallas Stars,New York Islanders,3,0,3 - 0,2024-2025,1.0,True,11.0,25.0,2024-10-12 20:00:00,True,1,0,False,False,0.0,0.0,1,0,29.0,,2.0,2.0
2024-10-13 00:00:00+00:00,2024-10-12 20:00:00-04:00,2024-10-12,Minnesota Wild,Seattle Kraken,4,5,4 - 5,2024-2025,1.0,True,30.0,16.0,2024-10-12 20:00:00,False,1,0,False,False,1.0,0.0,1,0,24.0,32.0,2.0,4.0
2024-10-13 01:00:00+00:00,2024-10-12 21:00:00-04:00,2024-10-12,Colorado Avalanche,Columbus Blue Jackets,4,6,4 - 6,2024-2025,1.0,True,3.0,24.0,2024-10-12 21:00:00,False,0,0,False,False,0.0,0.0,0,0,9.0,30.0,2.0,2.0
2024-10-13 02:00:00+00:00,2024-10-12 22:00:00-04:00,2024-10-12,San Jose Sharks,Anaheim Ducks,0,2,0 - 2,2024-2025,1.0,True,31.0,17.0,2024-10-12 22:00:00,False,0,0,False,False,0.0,0.0,0,0,32.0,,1.0,
2024-10-13 02:00:00+00:00,2024-10-12 22:00:00-04:00,2024-10-12,Calgary Flames,Philadelphia Flyers,6,3,6 - 3,2024-2025,1.0,True,33.0,15.0,2024-10-12 22:00:00,True,1,1,False,True,0.0,1.0,1,1,20.0,20.0,3.0,1.0
